season,episode,voted_out,voted_out_id,vote
10,8,Bobby Jon,US0141,9
10,9,Coby,US0142,10
10,11,Stephenie,US0144,11
10,12,Gregg,US0145,12
10,13,Caryn,US0146,13
10,14,Jenn,US0147,14
10,14,Ian,US0148,15
11,1,Jim,US0151,1
11,2,Morgan,US0152,2
11,3,Brianna,US0153,3
11,4,Brooke,US0154,4
11,5,Blake,US0155,5
11,6,Margaret,US0156,6
11,6,Brian,US0157,7
11,7,Amy,US0158,8
11,8,Brandon,US0159,9
11,9,Bobby Jon,US0141,10
11,10,Jamie,US0160,11
11,11,Gary,US0161,12
11,12,Judd,US0162,13
11,13,Cindy,US0163,14
11,14,Lydia,US0164,15
11,14,Rafe,US0165,16
12,1,Tina,US0167,1
12,2,Melinda,US0168,2
12,3,Misty,US0169,3
12,4,Ruth Marie,US0170,4
12,5,Bobby,US0171,5
12,6,Dan,US0172,6
12,8,Nick,US0173,7
12,9,Austin,US0174,8
12,10,Sally,US0175,9
12,12,Courtney,US0177,10
12,13,Shane,US0178,11
12,14,Cirie,US0179,12
12,15,Terry,US0180,13
13,1,Sekou,US0183,1
13,2,Billy,US0184,2
13,3,Cecilia,US0185,3
13,4,J.P.,US0186,4
13,5,Stephannie,US0187,5
13,6,Cao Boi,US0188,6
13,6,Cristina,US0189,7
13,8,Jessica,US0190,8
13,9,Brad,US0191,9
13,10,Rebecca,US0192,10
13,10,Jenny,US0193,11
13,11,Nate,US0194,12
13,12,Candice,US0195,13
13,13,Jonathan,US0196,14
13,14,Parvati,US0197,15
13,15,Adam,US0198,16
13,15,Sundra,US0199,17
14,1,Jessica,US0203,1
14,2,Erica,US0204,2
14,3,Sylvia,US0205,3
14,4,Liliana,US0207,4
14,5,Rita,US0208,5
14,6,Anthony,US0209,6
14,7,Rocky,US0210,7
14,8,Lisi,US0211,8
14,9,Michelle,US0212,9
14,10,Edgardo,US0213,10
14,11,Mookie,US0214,11
14,12,Alex,US0215,12
14,13,Stacy,US0216,13
14,14,Boo,US0217,14
14,14,Yau-Man,US0218,15
15,1,Chicken,US0222,1
15,2,Ashley,US0223,2
15,3,Leslie,US0224,3
15,4,Dave,US0225,4
15,5,Aaron,US0226,5
15,6,Sherea,US0227,6
15,7,Jaime,US0228,7
15,8,Jean-Robert,US0229,8
15,9,Frosti,US0230,9
15,11,James,US0231,10
15,12,Erik,US0232,11
15,13,Peih-Gee,US0233,12
15,14,Denise,US0234,13
16,1,Jonny Fairplay,US0111,1
16,2,Mary,US0238,2
16,3,Yau-Man,US0218,3
16,4,Mikey B,US0239,4
16,5,Joel,US0240,5
16,6,Chet,US0241,6
16,7,Tracy,US0243,7
16,8,Ami,US0125,8
16,9,Eliza,US0127,9
16,10,Ozzy,US0201,10
16,11,Jason,US0244,11
16,12,Alexis,US0245,12
16,13,Erik,US0246,13
16,14,Natalie,US0247,14
16,14,Cirie,US0179,15
17,1,Michelle,US0248,1
17,1,Gillian,US0249,2
17,2,Paloma,US0250,3
17,3,Jacquie,US0251,4
17,4,GC,US0252,5
17,5,Kelly,US0253,6
17,6,Ace,US0254,7
17,6,Dan,US0255,8
17,7,Marcus,US0256,9
17,8,Charlie,US0257,10
17,9,Randy,US0258,11
17,11,Corinne,US0259,12
17,12,Crystal,US0260,13
17,13,Ken,US0261,14
17,13,Matty,US0262,15
18,1,Carolina,US0266,1
18,2,Candace,US0267,2
18,3,Jerry,US0268,3
18,4,Sandy,US0269,4
18,5,Spencer,US0270,5
18,7,Sydney,US0271,6
18,9,Brendan,US0273,7
18,10,Tyson,US0274,8
18,11,Sierra,US0275,9
18,12,Debbie,US0276,10
18,13,Coach,US0277,11
18,14,Taj,US0278,12
18,14,Erinn,US0279,13
19,1,Marisa,US0282,1
19,2,Betsy,US0284,2
19,3,Ben,US0285,3
19,4,Yasmin,US0286,4
19,5,Ashley,US0287,5
19,7,Liz,US0289,6
19,8,Erik,US0290,7
19,9,Kelly,US0291,8
19,10,Laura,US0292,9
19,12,John,US0293,10
19,13,Dave,US0294,11
19,13,Monica,US0295,12
19,14,Shambo,US0296,13
19,15,Jaison,US0297,14
19,15,Brett,US0298,15
20,1,Sugar,US0263,1
20,2,Stephenie,US0144,2
20,3,Randy,US0258,3
20,4,Cirie,US0179,4
20,5,Tom,US0150,5
20,6,Tyson,US0274,6
20,6,James,US0231,7
20,7,Boston Rob,US0055,8
20,8,Coach,US0277,9
20,9,Courtney,US0236,10
20,10,J.T.,US0281,11
20,11,Amanda,US0235,12
20,12,Candice,US0195,13
20,12,Danielle,US0181,14
20,13,Rupert,US0107,15
20,14,Colby,US0031,16
20,14,Jerri,US0025,17
21,1,Wendy,US0302,1
21,2,Shannon,US0303,2
21,3,Jimmy J.,US0304,3
21,4,Jimmy T.,US0305,4
21,5,Tyrone,US0306,5
21,6,Kelly B.,US0307,6
21,6,Yve,US0308,7
21,7,Jill,US0309,8
21,8,Alina,US0310,9
21,9,Marty,US0311,10
21,10,Brenda,US0312,11
21,13,Benry,US0315,12
21,14,Jane,US0316,13
21,15,Dan,US0317,14
21,15,Holly,US0318,15
22,1,Francesca,US0322,1
22,2,Matt,US0323,2
22,3,Russell,US0300,3
22,4,Kristina,US0324,4
22,5,Krista,US0325,5
22,6,Stephanie,US0326,6
22,7,Sarita,US0327,7
22,8,Matt,US0323,8
22,9,Mike,US0328,9
22,9,David,US0329,10
22,10,Julie,US0330,11
22,11,Ralph,US0331,12
22,11,Steve,US0332,13
22,12,Andrea,US0333,14
22,13,Grant,US0334,15
22,14,Andrea,US0333,16
22,14,Ashley,US0335,17
23,1,Semhar,US0338,1
23,2,Christine,US0339,2
23,3,Papa Bear,US0340,3
23,4,Stacey,US0341,4
23,5,Elyse,US0342,5
23,6,Mikayla,US0343,6
23,7,Ozzy,US0201,7
23,8,Keith,US0344,8
23,9,Ozzy,US0201,9
23,9,Jim,US0345,10
23,10,Dawn,US0346,11
23,10,Whitney,US0347,12
23,12,Cochran,US0348,13
23,13,Edna,US0349,14
23,14,Brandon,US0350,15
23,15,Rick,US0351,16
23,15,Ozzy,US0201,17
24,2,Nina,US0355,1
24,3,Matt,US0356,2
24,4,Bill,US0357,3
24,5,Monica,US0358,4
24,7,Jonas,US0360,5
24,8,Michael,US0361,6
24,9,Jay,US0362,7
24,10,Leif,US0363,8
24,11,Troyzan,US0364,9
24,12,Kat,US0365,10
24,13,Tarzan,US0366,11
24,14,Alicia,US0367,12
24,14,Christina,US0368,13
25,1,Zane,US0372,1
25,2,Roxy,US0373,2
25,3,Angie,US0374,3
25,4,Russell,US0288,4
25,5,Dawson,US0376,5
25,6,Katie,US0377,6
25,7,RC,US0378,7
25,8,Jeff,US0379,8
25,9,Artis,US0380,9
25,10,Pete,US0381,10
25,11,Jonathan,US0196,11
25,12,Carter,US0382,12
25,13,Abi-Maria,US0383,13
25,14,Malcolm,US0384,14
26,1,Francesca,US0322,1
26,2,Allie,US0387,2
26,3,Hope,US0388,3
26,4,Laura,US0390,4
26,5,Brandon,US0350,5
26,6,Matt,US0391,6
26,7,Julia,US0392,7
26,8,Corinne,US0259,8
26,9,Michael,US0393,9
26,10,Phillip,US0337,10
26,11,Malcolm,US0384,11
26,12,Reynold,US0394,12
26,12,Andrea,US0333,13
26,13,Brenda,US0312,14
26,14,Eddie,US0395,15
27,1,Laura B.,US0397,1
27,1,Candice,US0195,2
27,1,Marissa,US0398,3
27,2,Rachel,US0399,4
27,3,John,US0400,5
27,4,Brad,US0401,6
27,5,Laura M.,US0292,7
27,6,Kat,US0365,8
27,7,Laura B.,US0397,9
27,8,Aras,US0182,10
27,9,Vytas,US0402,11
27,9,Tina,US0032,12
27,10,Laura M.,US0292,13
27,11,Caleb,US0403,14
27,12,Katie,US0404,15
27,13,Hayden,US0405,16
27,14,Ciera,US0406,17
27,14,Tina,US0032,18
28,1,David,US0407,1
28,1,Garrett,US0408,2
28,2,Brice,US0409,3
28,3,J'Tia,US0410,4
28,4,Cliff,US0411,5
28,5,Alexis,US0413,6
28,6,Sarah,US0414,7
28,7,Morgan,US0415,8
28,8,LJ,US0416,9
28,9,Jeremiah,US0417,10
28,10,Jefra,US0418,11
28,11,Tasha,US0419,12
28,12,Trish,US0420,13
28,13,Spencer,US0421,14
28,13,Kass,US0422,15
29,1,Nadiya,US0425,1
29,2,Val,US0426,2
29,3,John,US0427,3
29,4,Drew,US0428,4
29,5,Kelley,US0429,5
29,6,Dale,US0430,6
29,8,Josh,US0432,7
29,9,Jeremy,US0433,8
29,10,Wes,US0434,9
29,11,Reed,US0435,10
29,12,Alec,US0436,11
29,13,Jon,US0437,12
29,14,Baylor,US0438,13
29,14,Keith,US0439,14
30,1,So,US0443,1
30,2,Vince,US0444,2
30,3,Nina,US0445,3
30,4,Lindsey,US0446,4
30,5,Max,US0447,5
30,6,Joaquin,US0448,6
30,7,Kelly,US0449,7
30,8,Hali,US0450,8
30,9,Joe,US0451,9
30,10,Jenn,US0452,10
30,11,Shirin,US0453,11
30,12,Tyler,US0454,12
30,13,Dan,US0455,13
30,14,Sierra,US0456,14
30,14,Rodney,US0457,15
31,1,Vytas,US0402,1
31,2,Shirin,US0453,2
31,3,Peih-Gee,US0233,3
31,4,Jeff,US0023,4
31,5,Monica,US0295,5
31,6,Woo,US0423,6
31,7,Kass,US0422,7
31,8,Andrew,US0105,8
31,9,Kelly,US0015,9
31,10,Ciera,US0406,10
31,11,Stephen,US0280,11
31,12,Joe,US0451,12
31,13,Abi-Maria,US0383,13
31,14,Kimmi,US0021,14
31,14,Keith,US0439,15
31,14,Kelley,US0429,16
32,1,Darnell,US0461,1
32,2,Jennifer,US0462,2
32,3,Liz,US0463,3
32,4,Alecia,US0465,4
32,5,Anna,US0466,5
32,6,Peter,US0467,6
32,8,Nick,US0469,7
32,9,Debbie,US0470,8
32,10,Scot,US0471,9
32,11,Julia,US0472,10
32,12,Jason,US0473,11
32,14,Cydney,US0475,12
33,1,Rachel,US0479,1
33,2,Mari,US0480,2
33,3,Paul,US0481,3
33,4,Lucy,US0482,4
33,5,CeCe,US0483,5
33,6,Figgy,US0484,6
33,7,Michaela,US0485,7
33,8,Michelle,US0486,8
33,9,Taylor,US0487,9
33,10,Chris,US0488,10
33,10,Jessica,US0489,11
33,11,Zeke,US0490,12
33,12,Will,US0491,13
33,12,Sunday,US0492,14
33,13,Jay,US0493,15
33,13,Bret,US0494,16
