season,vote,episode,castaway,castaway_id,acknowledge,ack_gesture,ack_speak,ack_look,ack_smile,ack_speak_notes,ack_score,notes
7,11,10,Rupert,US0107,False,False,False,False,False,,0,
7,12,11,Tijuana,US0108,False,False,False,False,False,,0,
7,13,12,Christa,US0109,True,True,False,True,False,,2,
7,14,13,Burton,US0100,False,False,False,False,False,,0,
7,15,14,Darrah,US0110,False,False,False,False,False,,0,
7,16,14,Jonny Fairplay,US0111,False,False,False,False,False,,0,
8,1,1,Tina,US0032,False,False,False,False,False,,0,
8,2,2,Rudy,US0014,True,True,False,True,False,,2,
8,3,4,Rob C.,US0094,True,True,False,True,False,,2,
8,4,5,Richard,US0016,True,False,True,True,True,,3,
8,5,7,Colby,US0031,False,False,False,False,False,,0,
8,6,8,Ethan,US0048,True,True,True,True,False,,3,
8,7,10,Jerri,US0025,True,True,False,True,True,,3,
8,8,11,Lex,US0046,False,False,False,False,False,,0,
8,9,12,Kathy,US0062,True,True,False,True,True,,3,
8,10,13,Alicia,US0024,False,False,False,False,False,,0,
8,11,14,Shii Ann,US0071,True,True,True,True,True,"""Good luck, everyone.""",4,
8,12,15,Tom,US0045,True,False,False,True,False,,1,Glared at tribe on path out
8,13,16,Rupert,US0107,False,False,False,False,False,,0,
8,14,16,Jenna L.,US0009,True,True,False,True,False,,2,
9,1,1,Brook,US0113,False,False,False,False,False,,0,
9,2,2,Dolly,US0114,False,False,False,False,False,,0,
9,3,3,John P.,US0115,True,True,False,True,False,,2,
9,4,3,Mia,US0116,True,False,True,True,False,"""Kick ass, ladies.""",2,
9,5,4,Brady,US0117,True,True,True,True,False,"""Good luck, fellas.""",3,
9,6,5,Travis,US0118,True,True,True,True,True,"""Peace out, y'all.""",4,
9,7,6,Lisa,US0119,True,False,True,True,False,"""True to my word.""",2,
9,8,7,John K.,US0120,True,True,True,True,False,"""Take it easy.""",3,
9,9,8,Rory,US0121,False,False,False,False,False,,0,
9,10,9,Lea,US0122,True,True,False,True,False,,2,
9,11,10,Chad,US0123,True,True,False,True,False,,2,
9,12,11,Leann,US0124,True,False,False,True,False,,1,
9,13,12,Ami,US0125,False,False,False,False,False,,0,
9,14,13,Julie,US0126,False,False,False,False,False,,0,
9,15,14,Eliza,US0127,True,False,False,True,False,,1,
9,16,14,Scout,US0128,False,False,False,False,False,,0,
10,1,1,Jolanda,US0133,False,False,False,False,False,,0,
10,2,2,Ashlee,US0134,False,False,False,False,False,,0,
10,3,3,Jeff,US0135,False,False,False,False,False,,0,
10,4,4,Kim,US0136,False,False,False,False,False,,0,
10,5,5,Willard,US0137,True,True,True,True,True,"""Stay strong, stick to the plan, finish them off.""",4,
10,6,5,Angie,US0138,True,True,True,True,True,"""Steph, rock it for the ladies.""",4,
10,7,6,James,US0139,False,False,False,False,False,,0,
10,8,7,Ibrehem,US0140,False,False,False,False,False,,0,
10,9,8,Bobby Jon,US0141,False,False,False,False,False,,0,
10,10,9,Coby,US0142,True,False,True,True,True,"""That was a great compliment. Thank you.""",3,
10,11,11,Stephenie,US0144,False,False,False,False,False,,0,
10,12,12,Gregg,US0145,False,False,False,False,False,,0,
10,13,13,Caryn,US0146,False,False,False,False,False,,0,
10,14,14,Jenn,US0147,True,False,True,True,False,"""Good luck, guys.""",2,
10,15,14,Ian,US0148,False,False,False,False,False,,0,Not a traditional vote off because of the long bouy challenge
11,1,1,Jim,US0151,True,True,False,False,False,,1,Waved and turned head but didn't make eye contact
11,2,2,Morgan,US0152,False,False,False,False,False,,0,
11,3,3,Brianna,US0153,True,False,True,True,True,"""You guys are strong. Kick some ... butt."" ",3,
11,4,4,Brooke,US0154,False,False,False,False,False,,0,
11,5,5,Blake,US0155,True,False,True,True,False,"""Bye guys""",2,
11,6,6,Margaret,US0156,False,False,False,False,False,,0,
11,7,6,Brian,US0157,True,True,True,True,False,"""Good luck guys""",3,Hugged several people before torch.
11,8,7,Amy,US0158,False,False,False,False,False,,0,Hugged Gary before torch
11,9,8,Brandon,US0159,True,False,True,False,False,"""Good luck guys""",1,Spoke with back turned
11,10,9,Bobby Jon,US0141,True,True,True,True,False,"""Hang in there. Good luck.""",3,
11,11,10,Jamie,US0160,True,True,True,True,True,"""You blindsided! Nice! That's how you vote somebody off!""",4,Not a wave but lots of hand motions for emphasis. 
11,12,11,Gary,US0161,False,False,False,False,False,,0,
11,13,12,Judd,US0162,True,False,True,False,False,"""Scumbags""",1,Said it walking away
11,14,13,Cindy,US0163,False,False,False,False,False,,0,Curse of the car!
11,15,14,Lydia,US0164,False,False,False,False,False,,0,
11,16,14,Rafe,US0165,True,True,True,True,True,"""Good luck tomorrow, guys.""",4,
12,1,1,Tina,US0167,True,True,True,True,True,,4,
12,2,2,Melinda,US0168,True,True,True,False,False,,2,
12,3,3,Misty,US0169,True,True,True,False,False,,2,
12,4,4,Ruth Marie,US0170,True,True,True,False,False,,2,
12,5,5,Bobby,US0171,False,False,False,False,False,,0,
12,6,6,Dan,US0172,True,True,False,True,True,,3,
12,7,8,Nick,US0173,True,True,True,True,True,"""Cirie""",4,He threw her some socks and said her name. 
12,8,9,Austin,US0174,True,True,True,True,True,"""Bye guys""",4,
12,9,10,Sally,US0175,True,True,True,True,False,"""Thanks""",3,
12,10,12,Courtney,US0177,True,False,False,True,True,,2,
12,11,13,Shane,US0178,True,False,False,True,False,,1,
12,12,14,Cirie,US0179,True,True,False,True,True,,3,
12,13,15,Terry,US0180,True,True,True,True,False,"""Thanks for the journey, you guys""",3,
13,1,1,Sekou,US0183,False,False,False,False,False,,0,
13,2,2,Billy,US0184,True,True,False,True,False,,2,
13,3,3,Cecilia,US0185,False,False,False,False,False,,0,
13,4,4,J.P.,US0186,True,True,True,True,True,"""That was pretty good.""",4,
13,5,5,Stephannie,US0187,True,True,False,True,True,,3,
13,6,6,Cao Boi,US0188,False,False,False,False,False,,0,
13,7,6,Cristina,US0189,False,False,False,False,False,,0,
13,8,8,Jessica,US0190,True,True,False,True,True,,3,
13,9,9,Brad,US0191,True,True,False,True,True,,3,
13,10,10,Rebecca,US0192,False,False,False,False,False,,0,
13,11,10,Jenny,US0193,False,False,False,False,False,,0,
13,12,11,Nate,US0194,True,True,True,True,False,"""One love""",3,
13,13,12,Candice,US0195,True,True,True,True,True,"""Still smiling, guys. Have fun. Love ya.""",4,
13,14,13,Jonathan,US0196,True,True,True,True,True,"""I'd like my hat back at some point. 'Night guys.""",4,
13,15,14,Parvati,US0197,True,True,False,True,True,,3,
13,16,15,Adam,US0198,False,False,False,False,False,,0,
13,17,15,Sundra,US0199,True,True,False,True,True,,3,
14,1,1,Jessica,US0203,False,False,False,False,False,,0,
14,2,2,Erica,US0204,False,False,False,False,False,,0,
14,3,3,Sylvia,US0205,True,True,True,True,True,"""Good luck.""",4,
14,4,4,Liliana,US0207,False,False,False,False,False,,0,
14,5,5,Rita,US0208,True,True,False,True,True,,3,
14,6,6,Anthony,US0209,True,True,True,True,False,"""Good luck""",3,
14,7,7,Rocky,US0210,True,False,True,True,False,"""Be good, boys, huh?""",2,
14,8,8,Lisi,US0211,False,False,False,False,False,,0,
14,9,9,Michelle,US0212,True,True,False,True,True,,3,
14,10,10,Edgardo,US0213,False,False,False,False,False,,0,
14,11,11,Mookie,US0214,True,True,True,True,False,"""Good luck""",3,
14,12,12,Alex,US0215,True,True,False,True,False,,2,
14,13,13,Stacy,US0216,True,True,False,True,True,,3,
14,14,14,Boo,US0217,False,False,False,False,False,,0,
14,15,14,Yau-Man,US0218,True,True,True,True,True,"""Good luck""",4,
15,1,1,Chicken,US0222,False,False,False,False,False,,0,
15,2,2,Ashley,US0223,False,False,False,False,False,,0,
15,3,3,Leslie,US0224,True,True,False,True,False,,2,
15,4,4,Dave,US0225,False,False,False,False,False,,0,
15,5,5,Aaron,US0226,False,False,False,False,False,,0,
15,6,6,Sherea,US0227,False,False,False,False,False,,0,
15,7,7,Jaime,US0228,False,False,False,False,False,,0,
15,8,8,Jean-Robert,US0229,False,False,False,False,False,,0,
15,9,9,Frosti,US0230,True,True,False,True,False,,2,
15,10,11,James,US0231,False,False,False,False,False,,0,
15,11,12,Erik,US0232,False,False,False,False,False,,0,
15,12,13,Peih-Gee,US0233,False,False,False,False,False,,0,
15,13,14,Denise,US0234,True,True,False,True,True,,3,
16,1,1,Jonny Fairplay,US0111,True,True,True,True,True,"""Bye guys.""",4,
16,2,2,Mary,US0238,True,True,True,True,False,"""Bye guys. Win this.""",3,
16,3,3,Yau-Man,US0218,True,True,True,True,True,"""Good luck guys! Have fun.""",4,
16,4,4,Mikey B,US0239,False,False,False,False,False,,0,
16,5,5,Joel,US0240,True,True,True,True,True,,4,
16,6,6,Chet,US0241,True,True,True,True,True,"""Love you guys.""",4,
16,7,7,Tracy,US0243,False,False,False,False,False,,0,
16,8,8,Ami,US0125,True,True,True,True,True,"""Good luck guys!""",4,
16,9,9,Eliza,US0127,True,True,True,True,True,"""Bye guys.""",4,
16,10,10,Ozzy,US0201,True,False,False,True,False,,1,
16,11,11,Jason,US0244,True,True,True,True,True,,4,
16,12,12,Alexis,US0245,True,True,False,True,True,,3,
16,13,13,Erik,US0246,True,True,False,True,True,,3,
16,14,14,Natalie,US0247,True,True,False,True,True,,3,
16,15,14,Cirie,US0179,True,True,False,True,True,,3,
17,1,1,Michelle,US0248,False,False,False,False,False,,0,
17,2,1,Gillian,US0249,True,True,True,True,True,"""Bye guys. Good luck.""",4,
17,3,2,Paloma,US0250,False,False,False,False,False,,0,
17,4,3,Jacquie,US0251,False,False,False,False,False,,0,
17,5,4,GC,US0252,True,True,False,True,False,,2,
17,6,5,Kelly,US0253,False,False,False,False,False,,0,
17,7,6,Ace,US0254,True,True,True,True,False,"""Good luck, guys.""",3,
17,8,6,Dan,US0255,False,False,False,False,False,,0,
17,9,7,Marcus,US0256,False,False,False,False,False,,0,
17,10,8,Charlie,US0257,True,False,True,True,True,"""Have fun.""",3,
17,11,9,Randy,US0258,False,False,False,False,False,,0,
17,12,11,Corinne,US0259,False,False,False,False,False,,0,
17,13,12,Crystal,US0260,True,True,False,True,True,,3,
17,14,13,Ken,US0261,True,True,True,True,False,"""Goodbye""",3,
17,15,13,Matty,US0262,False,False,False,False,False,,0,
18,1,1,Carolina,US0266,False,False,False,False,False,,0,
18,2,2,Candace,US0267,False,False,False,False,False,,0,
18,3,3,Jerry,US0268,True,True,False,True,True,,3,
18,4,4,Sandy,US0269,False,False,False,False,False,,0,
18,5,5,Spencer,US0270,True,True,True,True,True,"""Bye guys""",4,
18,6,7,Sydney,US0271,False,False,False,False,False,,0,
18,7,9,Brendan,US0273,True,True,True,True,False,"""Good luck, you guys.""",3,
18,8,10,Tyson,US0274,True,True,False,True,True,,3,
18,9,11,Sierra,US0275,False,False,False,False,False,,0,
18,10,12,Debbie,US0276,True,True,False,True,False,,2,
18,11,13,Coach,US0277,True,True,False,True,True,,3,
18,12,14,Taj,US0278,False,False,False,False,False,,0,
18,13,14,Erinn,US0279,False,False,False,False,False,,0,
19,1,1,Marisa,US0282,False,False,False,False,False,,0,
19,2,2,Betsy,US0284,False,False,False,False,False,,0,
19,3,3,Ben,US0285,False,False,False,False,False,,0,
19,4,4,Yasmin,US0286,False,False,False,False,False,,0,
19,5,5,Ashley,US0287,True,False,True,True,False,"""Kick some butt you guys.""",2,
19,6,7,Liz,US0289,False,False,False,False,False,,0,
19,7,8,Erik,US0290,True,True,False,False,False,,1,
19,8,9,Kelly,US0291,False,False,False,False,False,,0,
19,9,10,Laura,US0292,False,False,False,False,False,,0,
19,10,12,John,US0293,True,True,True,True,False,"""Pleasure, boys.""",3,
19,11,13,Dave,US0294,True,False,True,True,False,"""Good game you guys.""",2,
19,12,13,Monica,US0295,True,True,False,True,False,,2,
19,13,14,Shambo,US0296,True,False,True,True,True,"""Good luck you guys.""",3,
19,14,15,Jaison,US0297,False,False,False,False,False,,0,
19,15,15,Brett,US0298,True,False,True,True,True,"""Good game guys!""",3,
20,1,1,Sugar,US0263,True,True,True,True,True,"""Bye""",4,
20,2,2,Stephenie,US0144,True,False,True,True,False,"""Some advice, next time y'all lose a challenge, a\nlittle less cursing off your tribe might help.... It's been a pleasure.""",2,
20,3,3,Randy,US0258,False,False,False,False,False,,0,
20,4,4,Cirie,US0179,True,True,False,True,False,,2,
20,5,5,Tom,US0150,False,False,False,False,False,,0,
20,6,6,Tyson,US0274,False,False,False,False,False,,0,
20,7,6,James,US0231,True,False,True,False,False,"""Oh, I'm gonna be good and drunk in the next five minutes.""",1,
20,8,7,Boston Rob,US0055,False,False,False,False,False,,0,
20,9,8,Coach,US0277,True,True,False,True,False,,2,
20,10,9,Courtney,US0236,True,True,True,True,True,"""Good luck, bitches. See you later.""",4,
20,11,10,J.T.,US0281,True,True,True,True,True,"""Good luck, guys.""",4,
20,12,11,Amanda,US0235,False,False,False,False,False,,0,
20,13,12,Candice,US0195,True,True,True,True,True,"""Good luck, you guys.""",4,
20,14,12,Danielle,US0181,True,True,True,True,False,"""Bye""",3,
20,15,13,Rupert,US0107,True,False,False,True,False,,1,
20,16,14,Colby,US0031,False,False,False,False,False,,0,
20,17,14,Jerri,US0025,True,True,True,True,True,"""Bye you guys.""",4,
21,1,1,Wendy,US0302,False,False,False,False,False,,0,
21,2,2,Shannon,US0303,False,False,False,False,False,,0,
21,3,3,Jimmy J.,US0304,True,True,True,True,False,"""Win a million bucks, OK?""",3,
21,4,4,Jimmy T.,US0305,False,False,False,False,False,,0,
21,5,5,Tyrone,US0306,True,True,True,True,True,"""Good luck, guys.""",4,
21,6,6,Kelly B.,US0307,False,False,False,False,False,,0,
21,7,6,Yve,US0308,False,False,False,False,False,,0,
21,8,7,Jill,US0309,False,False,False,False,False,,0,
21,9,8,Alina,US0310,True,False,True,True,True,"""Good luck, guys.""",3,
21,10,9,Marty,US0311,True,True,True,True,False,"""Good luck, guys.""",3,
21,11,10,Brenda,US0312,True,True,False,True,True,,3,
21,12,13,Benry,US0315,True,True,True,True,False,"""Good luck, guys.""",3,
21,13,14,Jane,US0316,True,False,True,False,False,"""Yall have fun""",1,
21,14,15,Dan,US0317,False,False,False,False,False,,0,
21,15,15,Holly,US0318,False,False,False,False,False,,0,
22,1,1,Francesca,US0322,True,False,True,False,False,"""Don't trust Phillip.""",1,
22,2,2,Matt,US0323,True,False,True,True,False,"""Have fun.""",2,
22,3,3,Russell,US0300,False,False,False,False,False,,0,
22,4,4,Kristina,US0324,False,False,False,False,False,,0,
22,5,5,Krista,US0325,False,False,False,False,False,,0,
22,6,6,Stephanie,US0326,False,False,False,False,False,,0,
22,7,7,Sarita,US0327,True,True,True,True,True,"""Bye, guys.""",4,
22,8,8,Matt,US0323,False,False,False,False,False,,0,
22,9,9,Mike,US0328,False,False,False,False,False,,0,
22,10,9,David,US0329,False,False,False,False,False,,0,
22,11,10,Julie,US0330,False,False,False,False,False,,0,
22,12,11,Ralph,US0331,False,False,False,False,False,,0,
22,13,11,Steve,US0332,False,False,False,False,False,,0,
22,14,12,Andrea,US0333,False,False,False,False,False,,0,
22,15,13,Grant,US0334,True,False,True,False,False,"""See you guys shortly.""",1,
22,16,14,Andrea,US0333,False,False,False,False,False,,0,
22,17,14,Ashley,US0335,True,True,False,True,True,,3,
23,1,1,Semhar,US0338,False,False,False,False,False,,0,
23,2,2,Christine,US0339,False,False,False,False,False,,0,
23,3,3,Papa Bear,US0340,True,False,True,True,True,"""Goodbye, everybody""",3,
23,4,4,Stacey,US0341,False,False,False,False,False,,0,
23,5,5,Elyse,US0342,False,False,False,False,False,,0,
23,6,6,Mikayla,US0343,False,False,False,False,False,,0,
23,7,7,Ozzy,US0201,True,True,False,True,True,"""Bye. Be right back.""",3,
23,8,8,Keith,US0344,False,False,False,False,False,,0,
23,9,9,Ozzy,US0201,True,False,True,True,True,"""You better believe it."" ",3,
23,10,9,Jim,US0345,False,False,False,False,False,,0,
23,11,10,Dawn,US0346,False,False,False,False,False,,0,
23,12,10,Whitney,US0347,False,False,False,False,False,,0,
23,13,12,Cochran,US0348,True,True,False,True,True,,3,
23,14,13,Edna,US0349,False,False,False,False,False,,0,
23,15,14,Brandon,US0350,False,False,False,False,False,,0,
23,16,15,Rick,US0351,False,False,False,False,False,,0,
23,17,15,Ozzy,US0201,True,False,True,False,True,"""It was great. Thanks a lot for the chance.""",2,
24,1,2,Nina,US0355,False,False,False,False,False,,0,
