season,season_name,episode,gender,castaway_id,castaway,full_name,acknowledge,ack_score,ack_quote_clean
42,Survivor: 42,1,Male,US0626,Zach,Zach Wurthenberger,True,4,I really did have a blast.
42,Survivor: 42,2,Female,US0618,Marya,Marya Sherron,True,4,See you guys. Bring it home.
42,Survivor: 42,7,Female,US0617,Lydia,Lydia Meredith,True,3,Good luck guys.
42,Survivor: 42,9,Male,US0622,Rocksroy,Rocksroy Bailey,True,3,Good luck.
42,Survivor: 42,9,Female,US0625,Tori,Tori Meehan,True,4,"Have fun, y'all."
42,Survivor: 42,10,Male,US0612,Hai,Hai Giang,True,4,Bye guys.
42,Survivor: 42,11,Female,US0611,Drea,Drea Wheeler,True,4,Love you.
42,Survivor: 42,12,Male,US0621,Omar,Omar Zaheer,True,4,"Love you, guys. See you soon."
42,Survivor: 42,13,Female,US0616,Lindsay,Lindsay Dolashewich,True,4,"Good luck, guys. Gonna eat so much food."
42,Survivor: 42,13,Male,US0615,Jonathan,Jonathan Young,True,3,"Hey, my friends. All love."
43,Survivor: 43,1,Female,US0639,Morriah,Morriah Young,True,4,Bye guys.
43,Survivor: 43,3,Female,US0640,Nneka,Nneka Ejere,True,3,Bye guys.
43,Survivor: 43,7,Male,US0629,Dwight,Dwight Moore,True,4,Thank you.
43,Survivor: 43,8,Female,US0633,Jeanine,Jeanine Zheng,True,3,See you guys in the real world.
43,Survivor: 43,10,Female,US0641,Noelle,Noelle Lambert,True,4,Good luck everyone.
43,Survivor: 43,11,Male,US0644,Sami,Sami Layadi,True,4,"Lot of fun, peeps."
43,Survivor: 43,12,Male,US0628,Cody,Cody Assenmacher,True,4,A hui hou ... And aloha.
43,Survivor: 43,13,Female,US0636,Karla,Karla Cruz Godoy,True,3,"Good luck, y'all. I love y'all."
44,Survivor: 44,1,Female,US0649,Maddy,Maddy Pomilla,True,4,Good luck you guys.
44,Survivor: 44,3,Female,US0651,Claire,Claire Rafson,True,2,Good luck.
44,Survivor: 44,6,Male,US0655,Josh,Josh Wilder,True,3,Bye guys.
44,Survivor: 44,7,Male,US0656,Matt,Matt Blankinship,True,3,"Proud of you, frannie, for winning today."
44,Survivor: 44,8,Male,US0645,Brandon,Brandon Cottom,True,3,Well played.
44,Survivor: 44,9,Male,US0647,Kane,Kane Fritzler,True,3,"Enjoy your rice, you bitches."
44,Survivor: 44,11,Male,US0652,Danny,Danny Massa,True,4,You're awesome.
44,Survivor: 44,12,Female,US0646,Jaime,Jaime Lynn Ruiz,True,4,Love you guys.
44,Survivor: 44,13,Male,US0659,Carson,Carson Garrett,True,3,"Good luck, y'all. Y'all are amazing."
45,Survivor: 45,1,Female,US0669,Hannah,Hannah Rose,True,4,I love you guys so much.
45,Survivor: 45,2,Male,US0665,Brandon,Brandon Donlon,True,3,This is cool. It's really cool.
45,Survivor: 45,3,Female,US0677,Sabiyah,Sabiyah Broderick,True,3,Who? ... Who?
45,Survivor: 45,5,Male,US0664,Brando,Brando Meyer,True,4,"Hey, one of y'all win it for me. I love you all. Good luck."
45,Survivor: 45,7,Male,US0679,Sifu,Sifu Alsup,True,3,"Thank you, everybody. It's been a pleasure."
45,Survivor: 45,7,Male,US0673,Kaleb,Kaleb Gebrewold,True,4,Always a pleasure.
45,Survivor: 45,8,Female,US0675,Kellie,Kellie Nalbandian,True,2,Bye.
45,Survivor: 45,11,Female,US0668,Emily,Emily Flippen,True,4,My vote's going to the best player.
45,Survivor: 45,13,Female,US0674,Katurah,Katurah Topps,True,2,Love you guys. Good luck! give 'em hell.
46,Survivor: 46,2,Female,US0686,Jess,Jess Chong,True,4,Bye.
46,Survivor: 46,7,Male,US0696,Tim,Tim Spicer,True,3,Love y'all.
46,Survivor: 46,8,Male,US0694,Tevin,Tevin Davis,True,3,It doesn't rock.
46,Survivor: 46,11,Female,US0697,Venus,Venus Vafa,True,3,"Great game, you guys."
46,Survivor: 46,12,Male,US0691,Q,Q Burdette,True,3,See y'all now.
46,Survivor: 46,13,Female,US0689,Maria,Maria Shrime Gonzalez,True,3,"It's been a pleasure, you guys."
