season,season_name,episode,gender,castaway_id,castaway,full_name,acknowledge,ack_score,ack_quote_clean
14,Survivor: Fiji,11,Male,US0214,Mookie,Mookie Lee,True,3,Good luck.
14,Survivor: Fiji,14,Male,US0218,Yau-Man,Yau-Man Chan,True,4,Good luck.
16,Survivor: Micronesia,1,Male,US0111,Jonny Fairplay,Jon Dalton,True,4,Bye guys.
16,Survivor: Micronesia,2,Female,US0238,Mary,Mary Sartain,True,3,Bye guys. Win this.
16,Survivor: Micronesia,3,Male,US0218,Yau-Man,Yau-Man Chan,True,4,Good luck guys! have fun.
16,Survivor: Micronesia,6,Male,US0241,Chet,Chet Welch,True,4,Love you guys.
16,Survivor: Micronesia,8,Female,US0125,Ami,Ami Cusack,True,4,Good luck guys!
16,Survivor: Micronesia,9,Female,US0127,Eliza,Eliza Orlins,True,4,Bye guys.
17,Survivor: Gabon,1,Female,US0249,Gillian,Gillian Larson,True,4,Bye guys. Good luck.
17,Survivor: Gabon,6,Male,US0254,Ace,Ace Gordon,True,3,"Good luck, guys."
17,Survivor: Gabon,8,Male,US0257,Charlie,Charlie Herschel,True,3,Have fun.
17,Survivor: Gabon,13,Male,US0261,Ken,Ken Hoang,True,3,Goodbye.
18,Survivor: Tocantins,5,Male,US0270,Spencer,Spencer Duhm,True,4,Bye guys.
18,Survivor: Tocantins,9,Male,US0273,Brendan,Brendan Synnott,True,3,"Good luck, you guys."
19,Survivor: Samoa,5,Female,US0287,Ashley,Ashley Trainer,True,2,Kick some butt you guys.
19,Survivor: Samoa,12,Male,US0293,John,John Fincher,True,3,"Pleasure, boys."
19,Survivor: Samoa,13,Male,US0294,Dave,Dave Ball,True,2,Good game you guys.
19,Survivor: Samoa,14,Female,US0296,Shambo,Shannon Waters,True,3,Good luck you guys.
19,Survivor: Samoa,15,Male,US0298,Brett,Brett Clouser,True,3,Good game guys!
20,Survivor: Heroes vs. Villains,1,Female,US0263,Sugar,Jessica Kiper,True,4,Bye.
20,Survivor: Heroes vs. Villains,2,Female,US0144,Stephenie,Stephenie LaGrossa,True,2,"Some advice, next time y'all lose a challenge, a\nlittle less cursing off your tribe might help.... It's been a pleasure."
20,Survivor: Heroes vs. Villains,6,Male,US0231,James,James Clement,True,1,"Oh, i'm gonna be good and drunk in the next five minutes."
